,0
749,18
750,67
751,-29
752,-37
753,103
754,4
755,-34
756,8
757,48
758,-50
759,0
760,63
761,56
762,-82
763,41
764,58
765,-35
766,-26
767,19
768,20
769,-86
770,-36
771,10
772,-40
773,-44
774,32
775,10
776,-82
777,-33
778,-3
779,34
780,-62
781,22
782,63
783,-43
784,0
785,57
786,-3
787,-24
788,7
789,49
790,-31
791,-14
792,64
793,56
794,-57
795,45
796,82
797,-12
798,-38
799,55
800,1
801,-92
802,-91
803,71
804,-62
805,-28
806,28
807,31
808,-11
809,7
810,43
811,-61
812,-9
813,5
814,-7
815,-56
816,31
817,30
818,-60
819,0
820,40
821,-15
822,-70
823,44
824,-14
825,-52
826,-28
827,60
828,-13
829,-41
830,26
831,24
832,-74
833,-7
834,48
835,-8
836,-19
837,55
838,64
839,-51
840,3
841,45
842,11
843,2
844,52
845,-18
846,-60
847,11
848,126
849,44
850,56
851,76
852,104
853,-15
854,17
855,51
856,33
857,-39
858,28
859,34
860,7
861,38
862,56
863,71
864,57
865,103
866,99
867,35
868,-14
869,42
870,32
871,36
872,37
873,13
874,48
875,21
876,75
877,77
878,50
879,43
880,76
881,48
882,-9
883,39
884,43
885,34
886,14
887,84
888,93
889,-41
890,0
891,58
892,79
893,56
894,57
895,67
896,10
897,-5
898,60
899,43
900,24
901,56
902,105
903,91
904,32
905,113
906,43
907,24
908,46
909,60
910,30
911,32
912,95
913,93
914,4
915,84
916,83
917,53
918,37
919,58
920,50
921,8
922,15
923,72
924,60
925,51
926,89
927,67
928,63
929,112
930,51
931,36
932,25
933,26
934,-14
935,-26
936,95
937,63
938,60
939,77
940,98
941,39
942,36
943,60
944,63
945,21
946,40
947,28
948,58
949,76
950,91
951,83
952,106
953,41
954,63
955,76
956,23
957,40
958,22
959,52
960,46
961,68
962,40
963,66
964,37
965,62
966,53
967,99
968,60
969,40
970,62
971,36
972,54
973,18
974,29
975,121
976,41
977,85
978,24
979,-48
980,78
981,102
982,76
983,55
984,79
985,55
986,50
987,29
988,71
989,38
990,77
991,68
992,55
993,43
994,68
995,52
996,40
997,27
998,55
999,66
1000,64
1001,81
1002,52
1003,57
1004,42
1005,93
1006,73
1007,40
1008,86
1009,49
1010,53
1011,45
1012,55
1013,17
1014,55
1015,63
1016,45
1017,31
1018,76
1019,24
1020,70
1021,66
1022,17
1023,69
1024,75
1025,82
1026,43
1027,30
1028,60
1029,64
1030,50
1031,42
1032,43
1033,31
1034,62
1035,76
1036,78
1037,67
1038,83
1039,82
1040,52
1041,51
1042,52
1043,63
1044,41
1045,31
1046,50
1047,60
1048,51
1049,39
1050,60
1051,54
1052,65
1053,67
1054,91
1055,73
1056,85
1057,64
1058,69
1059,68
1060,36
1061,57
1062,41
1063,73
1064,67
1065,79
1066,10
1067,-7
1068,48
1069,82
1070,57
1071,97
1072,111
1073,69
1074,47
1075,63
1076,79
1077,24
1078,84
1079,59
1080,52
1081,54
1082,35
1083,38
1084,63
1085,40
1086,57
1087,63
1088,96
1089,32
1090,46
1091,85
1092,86
1093,48
1094,49
1095,73
1096,75
1097,59
1098,64
1099,70
1100,107
1101,53
1102,36
1103,48
1104,66
1105,68
1106,61
1107,53
1108,62
1109,49
1110,43
1111,17
1112,65
1113,58
1114,37
1115,55
1116,58
1117,46
1118,70
1119,34
1120,62
1121,115
1122,67
1123,22
1124,103
1125,146
1126,68
1127,63
1128,219
1129,93
1130,36
1131,100
1132,172
1133,61
1134,19
1135,136
1136,133
1137,54
1138,60
1139,158
1140,97
1141,41
1142,109
1143,149
1144,70
1145,35
1146,134
1147,87
1148,43
1149,89
1150,168
1151,73
1152,17
1153,114
1154,40
1155,-55
1156,-1
1157,166
1158,116
1159,62
1160,154
1161,102
1162,59
1163,32
1164,147
1165,64
1166,20
1167,62
1168,106
1169,26
1170,8
1171,88
1172,99
1173,-14
1174,23
1175,97
1176,13
1177,8
1178,94
1179,55
1180,-6
1181,4
1182,75
1183,-36
1184,-10
1185,108
1186,71
1187,41
1188,83
1189,120
1190,54
1191,-9
1192,70
1193,44
1194,-1
1195,12
1196,83
1197,35
1198,-25
1199,-9
1200,49
1201,4
1202,37
1203,106
1204,-16
1205,-55
1206,59
1207,106
1208,87
1209,114
1210,176
1211,37
1212,-26
1213,110
1214,78
1215,17
1216,66
1217,65
1218,24
1219,11
1220,109
1221,40
1222,-3
1223,104
1224,49
1225,-42
1226,36
1227,81
1228,-12
1229,-12
1230,61
1231,0
1232,-31
1233,37
1234,36
1235,-5
1236,77
1237,166
1238,51
1239,-4
1240,126
1241,66
1242,17
1243,25
1244,32
1245,67
1246,69
1247,168
1248,67
1249,-32
1250,115
1251,62
1252,-43
1253,17
1254,75
1255,0
1256,-5
1257,49
1258,130
1259,33
1260,-1
1261,110
1262,30
1263,-7
1264,10
1265,93
1266,35
1267,-16
1268,94
1269,78
1270,-5
1271,27
1272,114
1273,14
1274,-27
1275,85
1276,123
1277,24
1278,-25
1279,95
1280,42
1281,-40
1282,10
1283,61
1284,6
1285,-1
1286,120
1287,37
1288,22
1289,18
1290,95
1291,26
1292,-66
1293,17
